"No","Judul","Topik","","",""
"1","SISTEM INFORMASI PENJADWALAN DOKTER BERBASIS WEB DENGAN MENGGUNAKAN FRAMEWORK CODEIGNITER (STUDI KASUS: RUMAH SAKIT YUKUM MEDICAL CENTRE)","Basis Data","","",""
"2","E-Learning Sebagai Media Pembelajaran Berbasis Web Pada Smk N 4 Purworejo","Basis Data","","",""
"3","PENERAPAN PENDEKATAN MACHINE LEARNING PADA PENGEMBANGAN BASIS DATA HERBAL SEBAGAI SUMBER INFORMASI KANDIDAT OBAT KANKER","Basis Data","","",""
"4","PERANCANGAN SISTEM INFORMASI PERSEDIAAN BAHAN BAKU","Basis Data","","",""
"5","Sistem Informasi Akademik Berbasis Web pada LKP Rejeki Cilacap","Basis Data","","",""
"6","DESAIN APLIKASI SISTEM INFORMASI GEOGRAFIS PEDAGANG PASAR MENGGUNAKAN VISUAL BASIC DAN DOTSPATIAL (STUDI KASUS: PASAR BINTORO KABUPATEN DEMAK)","Basis Data","","",""
"7","SISTEM INFORMASI PENGOLAHAN DATA PENANGGULANGAN BENCANA PADA KANTOR BADAN PENANGGULANGAN BENCANA DAERAH (BPBD) KABUPATEN PADANG PARIAMAN","Basis Data","","",""
"8","Perancangan dan Penerapan “Search Engine Optimization”(SEO) pada Website Pemasaran Produk Toko Janjebles","Basis Data","","",""
"9","IMPLEMENTASI SISTEM BASIS DATA UNTUK MENDUKUNG PENGEMBANGAN SISTEM INFORMASI MANAJEMEN SUMBER DAYA MANUSIA(STUDI KASUS  STIKOM DINAMIKA BANGSA)","Basis Data","","",""
"10","PEMBUATAN MODEL SEQUENCE DIAGRAM DENGAN REVERSE ENGINEERING APLIKASI BASIS DATA PADA SMARTPHONE UNTUK MENJAGA KONSISTENSI DESAIN PERANGKAT LUNAK","Basis Data","","",""
"11","DATA MINING UNTUK OPTIMALISASI DISTRIBUSI PENJUALAN INDOMIE GORENG MENGGUNAKAN METODE CLUSTERING","Data Mining","","",""
"12","PENERAPAN DATA MINING UNTUK MEMPREDIKSI KRITERIA NASABAH KREDIT","Data Mining","","",""
"13","Implementasi Data Mining Menentukan Game Android Paling Diminati Dengan Algoritma Apriori","Data Mining","","",""
"14","PENERAPAN DATA MINING TERHADAP PENJUALAN PIPA PADA CV. GASKINDO SENTOSA MENGGUNAKAN METODE ALGORITMA APRIORI","Data Mining","","",""
"15","PENERAPAN DATA MINING UNTUK KLASIFIKASI PREDIKSI PENYAKIT ISPA (Infeksi Saluran Pernapasan Akut) DENGAN ALGORITMA DECISION TREE (ID3)","Data Mining","","",""
"16","Implementasi Metode Association Rule untuk Menganalisis Data Twitter tentang Badan Penyelenggara Jaminan Sosial dengan Algoritma Frequent Pattern Growth","Data Mining","","",""
"17","Penerapan Principal Component Analysis","Data Mining","","",""
"18","Penerapan Algoritma C4.5 Untuk Memprediksi Keuntungan Pada PT SMOE Indonesia","Data Mining","","",""
"19","PENERAPAN DATA MINING DENGAN METODE CLUSTERING UNTUK PENGELOMPOKAN DATA PENGIRIMAN BURUNG","Data Mining","","",""
"20","Data Mining Untuk Analisis Pola Pemilihan Menu Pada Penang Corner Cafe Dan Resto Menggunakan Algoritma Apriori","Data Mining","","",""
"21","ANALISIS JARINGAN LOCAL AREA NETWORK (LAN) PADA PT. MUSTIKA RATU Tbk JAKARTA TIMUR","Jaringan Komputer","","",""
"22","Rancang Bangun Sistem Perpustakaan untuk Jurnal Elektronik","Jaringan Komputer","","",""
"23","SISTEM INFORMASI LAPORAN PENJUALAN KOMPUTER BERBASIS LAN","Jaringan Komputer","","",""
"24","ANALISIS DAN OPTIMALISASI JARINGAN MENGGUNAKAN TEKNIK LOAD BALANCING (Studi Kasus : Jaringan UAD Kampus 3)","Jaringan Komputer","","",""
"25","PENGEMBANGAN SISTEM PENGAMAN JARINGAN KOMPUTER BERDASARKAN ANALISIS FORENSIK JARINGAN","Jaringan Komputer","","",""
"26","MEDIA PEMBELAJARAN KOMUNIKASI DATA DAN JARINGAN KOMPUTER PADA MATERI ROUTER","Jaringan Komputer","","",""
"27","Perancangan Wide Area Network (WAN) Dengan Teknologi Virtual Private Network (VPN)","Jaringan Komputer","","",""
"28","PERANCANGAN JARINGAN KOMPUTER DI PT. DIRGANTARA","Jaringan Komputer","","",""
"29","PERANCANGAN INFRASTRUKTUR JARINGAN KOMPUTER UNTUK MENDUKUNG IMPLEMENTASI SISTEM INFORMASI PADA UNIVERSITAS TEKNOLOGI SUMBAWA","Jaringan Komputer","","",""
"30","PERANCANGAN APLIKASI PEMERIKSAAN IP ADDRESS AKTIF PADA JARINGAN KOMPUTER DENGAN METODE PENGUJIAN BLACK BOX","Jaringan Komputer","","",""
"31","JARINGAN SYARAF TIRUAN ALGORITMA BACKPROPAGATION DALAM MEMPREDIKSI KETERSEDIAAN KOMODITI PANGAN PROVINSI RIAU","Jaringan Syaraf Tiruan","","",""
"32","Prediksi Nilai Tukar Petani Menggunakan Jaringan Syaraf Tiruan Backpropagation","Jaringan Syaraf Tiruan","","",""
"33","Pengenalan Pola Tulang Daun Dengan Jaringan Syaraf Tiruan Backpropagation","Jaringan Syaraf Tiruan","","",""
"34","JARINGAN SYARAF TIRUAN UNTUK MEMPREDIKSI KINERJA SATPAM","Jaringan Syaraf Tiruan","","",""
"35","Metode Baru Untuk Pintu Loker Dengan Sistem Keamanan Wajah Menggunakan Algoritma Backpropagation","Jaringan Syaraf Tiruan","","",""
"36","JARINGAN SYARAF TIRUAN BACKPROPAGATION UNTUK PREDIKSI JUMLAH PENGUNJUNG KOLAM RENANG","Jaringan Syaraf Tiruan","","",""
"37","JARINGAN SYARAF TIRUAN UNTUK MEMPREDIKSI NILAI KELULUSAN SIDANG (STUDI KASUS : STMIK KAPUTAMA BINJAI )","Jaringan Syaraf Tiruan","","",""
"38","Model Jaringan Syaraf Tiruan Dalam Memprediksi Ketersediaan Cabai Berdasarkan Provinsi","Jaringan Syaraf Tiruan","","",""
"39","MODEL JARINGAN SYARAF TIRUAN DALAM MEMPREDIKSI PENDAPATAN PERKAPITA MASYARAKAT PERKOTAAN PADA GARIS KEMISKINAN BERDASARKAN PROPINSI","Jaringan Syaraf Tiruan","","",""
"40","DETEKSI ANOMALI TOTAL ELECTRON CONTENT SEBELUM GEMPA BUMI PALU MENGGUNAKAN JARINGAN SYARAF TIRUAN DETEKSI ANOMALI TOTAL ELECTRON CONTENT SEBELUM GEMPA BUMI PALU MENGGUNAKAN JARINGAN SYARAF TIRUAN DETEKSI ANOMALI TOTAL ELECTRON CONTENT SEBELUM GEMPA BUMI PALU MENGGUNAKAN JARINGAN SYARAF TIRUAN LEVENBERG-MARQUARDT","Jaringan Syaraf Tiruan","","",""
"41","OPTIMALISASI NEURAL NETWORK DENGAN PARTICLE SWARM OPTIMIZATION UNTUK PREDIKSI KELULUSAN MAHASISWA","Rekayasa Perangkat Lunak","","",""
"42","METODE WATERFALL DALAM IMPLEMENTASI APLIKASI PERPUSTAKAAN BERBASIS DEKSTOP","Rekayasa Perangkat Lunak","","",""
"43","REKAYASA PERANGKAT LUNAK PROGRAM APLIKASI MANAGEMENT SERVISE STATION PT.BUANA CENTRA SWAKARSA LOGISTICS (BCS-LOGISTICS) CILEGON","Rekayasa Perangkat Lunak","","",""
"44","REKAYASA PERANGKAT LUNAK SISTEM INFORMASI AKADEMIK DI SMK TERPADU BANI RUSYDI CIMARGA","Rekayasa Perangkat Lunak","","",""
"45","REKAYASA PERANGKAT LUNAK UNTUK JASA PINDAH BERBASIS WEB","Rekayasa Perangkat Lunak","","",""
"46","RANCANGAN SISTEM INFORMASI PENELITIAN DAN PENGABDIAN MASYARAKAT POLITEKNIK NEGERI BENGKALIS MENGGUNAKAN METODE UML (UNIFIED MODELING LANGUAGE)","Rekayasa Perangkat Lunak","","",""
"47","APPLICATION EMERGENCY PANIC BUTTON (AEPB) BERBASIS ANDROID (STUDI KASUS: RUMAH SAKIT ST. CAROLUS BOROMEUS-BELLO)","Rekayasa Perangkat Lunak","","",""
"48","PENERAPAN TEKNOLOGI AUGMENTED REALITY PADA KATALOG MEBEL KOMPAS JATI JEPARA BERBASIS ANDROID","Rekayasa Perangkat Lunak","","",""
"49","PEMBUATAN ALAT PENDETEKSI KEBISINGAN UNTUK BUDIDAYA BURUNG LOVE BIRD BERBASIS ARDUINO DAN ANDROID MELALUI WIFI","Rekayasa Perangkat Lunak","","",""
"50","Perancangan dan Pembuatan Aplikasi Manajemen Publikasi Ilmiah Berbasis Online pada Jurnal SISFO","Rekayasa Perangkat Lunak","","",""
"51","Robot Pintar Pengukur Kepuasan Konsumen pada Pusat Perbelanjaan","Robotika","","",""
"52","PERANCANGAN ROBOT BERODA DAN BERLENGAN UNTUK PROSES PEMANENAN BUAH TOMAT BERBASIS RASPBERRY PI","Robotika","","",""
"53","Robot Pintar Penyambut Costumer pada Pusat Perbelanjaan Kota Manado","Robotika","","",""
"54","PELATIHAN ROBOTIKA BERBASIS ANDROID UNTUK MENUMBUHKAN INOVASI DAN KREATIVITAS DI SMP 11 BANDUNG","Robotika","","",""
"55","RANCANG BANGUN ALAT PEMBERI PAKAN IKAN GURAMI OTOMATIS DENGAN MEMANFAATKAN GERAK ROTASI","Robotika","","",""
"56","Pemodelan dan Simulasi Robot Lengan 3 DOF Menggunakan V-REP","Robotika","","",""
"57","RANCANG BANGUN ROBOT KUDA UNTUK KONTES ROBOT ABU INDONESIA 2019","Robotika","","",""
"58","Rancang Bangun Robot Line Follower Portable Sebagai Upaya Minimalisasi Sampah Elektronik di Ranah Robotika","Robotika","","",""
"59","PEMANFAATAN SENSOR 3 AXIS GYROSCOPE PADA ROBOT SENI TARI BERBASIS RASPBERRY PI","Robotika","","",""
"60","PEMBUATAN SISTEM ROBOTIKA SEBAGAI IMPLEMENTASI PERGERAKAN KAMERA SECARA AUTONOMOUS","Robotika","","",""
"61","ANALISA PERBANDINGAN PEMODELAN BASIS DATA MENGGUNAKAN ER- DIAGRAM DAN EER-DIAGRAM PADA KASUS SISTEM ASISTENSI PERKULIAHAN PRAKTIKUM","Basis Data","","",""
"62","ANALISIS DAN PERANCANGAN SISTEM BASIS DATA TERHADAP APLIKASI SCORECARD SYSTEM PADA PT. THE FOREST TRUST  INDONESIA","Basis Data","","",""
"63","Analisis Kesiapan Kebutuhan Infrastruktur Replikasi Basis Data pada Sekolah Musik Indonesia Solo","Basis Data","","",""
"64","ANALISIS PERBANDINGAN SISTEM DATA POKOK PENDIDIKAN ( DAPODIK ) TINGKAT SMK","Basis Data","","",""
"65","APLIKASI PENGOLAHAN DATA STOK MOBIL PADA DEALER XYZ DI TASIKMALAYA","Basis Data","","",""
"66","Basis Data Semu Menggunakan Lembar Kerja Elektronik pada Sistem Otomatisasi Perkantoran","Basis Data","","",""
"67","DESAIN SISTEM MANAJEMEN BASIS DATA ASET TETAP PADA SEKOLAH HIGH SCOPE INDONESIA","Basis Data","","",""
"68","DISAIN DATABASE UNTUK PENGELOLAAN DATA KULIAH KERJA NYATA (KKN) PADA INSTITUT AGAMA ISLAM NEGERI (IAIN) BATUSANGKAR","Basis Data","","",""
"69","EVALUASI EFIKASI DAN KONTROL LOCUS PENGGUNA TEKNOLOGI SISTEM BASIS DATA AKUNTANSI","Basis Data","","",""
"70","IMPLEMENTASI METODE DEMPSTER SHAFER DAN DESAIN BASIS DATA PADA SISTEM PAKAR DIAGNOSA PENYAKIT MATA","Basis Data","","",""
"71","IMPLEMENTASI METODE GRAY LEVEL SLICING DALAM PENCARIAN CITRA PADA BASIS DATA","Basis Data","","",""
"72","Kajian Pengembangan Aplikasi Sistem Basis Data Rekrutmen Pegawai Dengan Pendekatan Metode Extreme Programming","Basis Data","","",""
"73","METODE PENCARIAN DATA MENGGUNAKAN QUERY HASH JOIN DAN QUERY NESTED JOIN","Basis Data","","",""
"74","IMPLEMENTASI ENKRIPSI BASIS DATA DENGAN ALGORITMA MD5 (MESSAGE DIGEST ALGORITHM 5) DAN VIGENERE CIPHER","Basis Data","","",""
"75","PEMBANGUNAN MODEL BASISDATA SPASIAL DARI FENOMENA PENURUNAN TANAH DI INDONESIA","Basis Data","","",""
"76","PEMBUATAN BASIS DATA ALUMNI PROGRAM STUDI PENDIDIKAN BIOLOGI FKIP UNIVERSITAS MATARAM","Basis Data","","",""
"77","PEMBUATAN BASIS DATA SPASIAL TEMPAT INDEKOS BERBASIS WEB DI AREA KAMPUS UNIVERSITAS NEGERI SEBELAS MARET","Basis Data","","",""
"78","PENENTUAN SPESIFIKASI KOMPUTER BERDASARKAN KEBUTUHAN PEMAKAI DAN HARGA MENGGUNAKAN BASIS DATA FUZZY","Basis Data","","",""
"79","PENGEMBANGAN BASIS DATA IMUNISASI DASAR LENGKAP DAN BOOSTER BATITA (STUDI KASUS DI PUSKESMAS BLEGA KABUPATEN BANGKALAN)","Basis Data","","",""
"80","Pengembangan Sistem Pemetaan Otomatis Entity Relationship Diagram Ke Dalam Database","Basis Data","","",""
"81","PENGISIAN BASIS DATA ALUMNI PROGRAM STUDI PENDIDIKAN BIOLOGI FKIP UNIVERSITAS MATARAM","Basis Data","","",""
"82","Penyusunan Basis Data Infrastruktur Sanitasi Sekolah Dasar Negeri Berbasis Website di Kecamatan Rasau Jaya","Basis Data","","",""
"83","Perancangan Active Database System pada Sistem Informasi Pelayanan Harga Pasar","Basis Data","","",""
"84","PERANCANGAN APLIKASI PENGAMANAN BASIS DATA MENGGUNAKAN ALGORITMA CAESAR CIPHER","Basis Data","","",""
"85","Perancangan Basis Data E-Library Program Studi Matematika FMIPA Universitas Udayana","Basis Data","","",""
"86","Perancangan Basis Data Instrumen Bimbingan Konseling Alat Ungkap Pemahaman Diri Siswa","Basis Data","","",""
"87","Perancangan Basis Data Katalog Citra Satelit LAPAN","Basis Data","","",""
"88","Perancangan Basis Data Pada Website E-Kartu Nikah","Basis Data","","",""
"89","Perancangan Dan Pembuatan Aplikasi Pendaftaran Mahasiswa Baru","Basis Data","","",""
"90","PERANCANGAN DATABASE UNTUK PEMINJAMAN BARANG DI UNVERSITAS XYZ","Basis Data","","",""
"91","PERANCANGAN MODEL BASIS DATA RELASIONAL DENGAN METODE DATABASE LIFE CYCLE","Basis Data","","",""
"92","PERANCANGAN SISTEM INFORMASI PENGOLAHAN DATA PKL (PRAKTEK KERJA LAPANGAN) DI DEVISI HUMAS PADA PT PEGADAIAN","Basis Data","","",""
"93","Perancangan Sistem Pengelolaan Basis Data Peserta Pelatihan Widyaiswara pada Balai Diklat Keagamaan Provinsi Aceh","Basis Data","","",""
"94","PERBANDINGAN PENCARIAN DATA MENGGUNAKAN QUERY HASH JOIN DAN QUERY NESTED JOIN","Basis Data","","",""
"95","Pertimbangan Melakukan Denormalisasi pada Model Basis Data Relasi","Basis Data","","",""
"96","RANCANG BANGUN APLIKASI PENCATATAN DATA KEPENDUDUKAN KELURAHAN PAHLAWAN BERBASIS WEB","Basis Data","","",""
"97","RANCANGAN BASIS DATA KEPENDUDUKAN BERDASARKAN ASPEK-ASPEK KUALITAS SCHEMA DATABASE","Basis Data","","",""
"98","SISTEM INFORMASI PENGOLAHAN DATA INVENTARIS DAN PENGDAAN BARANG PADA KANTOR DESA LENTING BERBASIS WEB","Basis Data","","",""
"99","SISTEM INFORMASI PENGOLAHAN DATA NILAI MURID DI SMA NEGERI 4 KOTA CIREBON","Basis Data","","",""
"100","SISTEM PENDUKUNG KEPUTUSAN REKOMENDASI PEMBELIAN MOBIL BEKAS MENGGUNAKAN METODE MULTI-FACTOR EVALUATION PROCESS (MFEP) DAN BASIS DATA FUZZY TAHANI","Basis Data","","",""
"101","ANALISIS DAN PERBANDINGAN ALGORITMA DATA MINING DALAM PREDIKSI HARGA SAHAM GGRM","Data Mining","","",""
"102","Aplikasi Data Mining untuk Mencari Pola Asosiasi Tracer Study Menggunakan Algoritma FOLDARM","Data Mining","","",""
"103","CLUSTERING PADA DATA MINING UNTUK MENGETAHUI POTENSI PENYEBARAN PENYAKIT DBD MENGGUNAKAN METODE ALGORITMA K-MEANS DAN METODE PERHITUNGAN JARAK EUCLIDEAN DISTANCE","Data Mining","","",""
"104","DATA MINING IDENTIFIKASI WEBSITE PHISING MENGGUNAKAN ALGORITMA C4.5","Data Mining","","",""
"105","Data Mining Penjualan Produk Dengan Metode Apriori Pada Indomaret Galang Kota","Data Mining","","",""
"106","DATA MINING TINGKAT PESANAN INVENTARIS KANTOR MENGGUNAKAN ALGORITMA APRIORI PADA KEPOLISIAN DAERAH SUMATERA UTARA","Data Mining","","",""
"107","IMPLEMENTASI DATA MINING ALGORITMA C4.5 UNTUK MEMPREDIKSI KELULUSAN UJI KOMPETENSI SMK TEKNIK KOMPUTER DAN JARINGAN (TKJ) (STUDY KASUS SMK PEMBANGUNAN DAERAH LUBUK PAKAM)","Data Mining","","",""
"108","IMPLEMENTASI DATA MINING K-MEANS UNTUK MENGUKUR KEMAMPUAN LOGIKA MAHASISWA (STUDI KASUS  AMIK LABUHAN BATU)","Data Mining","","",""
"109","Implementasi Data Mining Menentukan Jurusan Menggunakan Metode Klasifikasi Berbasis Web Di Sma Negeri 2 Muara Beliti","Data Mining","","",""
"110","Implementasi Data Mining Menggunakan Model SVM untuk Prediksi Kepuasan Pengunjung Taman Tabebuya","Data Mining","","",""
"111","IMPLEMENTASI DATA MINING PENJUALAN KORAN DENGAN METODE C4.5 (STUDI KASUS  PT. MEDIA MASSA CAHAYA PEMBAHARUAN)","Data Mining","","",""
"112","IMPLEMENTASI DATA MINING UNTUK PENGATURAN LAYOUT MINIMARKET DENGAN MENERAPKAN ASSOCIATION RULE","Data Mining","","",""
"113","IMPLEMENTASI DATA MINING UNTUK REKOMENDASI BEASISWA PADA SD WR SUPRATMAN 2 MENGGUNAKAN ALGORITMA NEAREST NEIGHBOR","Data Mining","","",""
"114","Implementasi Data Warehouse Dan Data Mining Untuk Pengembangan Sistem Rekomendasi Pemilihan SMA","Data Mining","","",""
"115","Implementasi Sistem Data Mining Untuk Menentukan Stock Accuracy Pada Warehouse PT Coca-Cola Amatil Indonesia Cibitung–Plant","Data Mining","","",""
"116","KLASTERISASI DATA JAMAAH UMROH PADA AULIYA TOUR & TRAVEL MENGGUNAKAN METODE K-MEANS CLUSTERING","Data Mining","","",""
"117","Komparasi Metode Data Mining K-Nearest Neighbor Dengan Naïve Bayes Untuk Klasifikasi Kualitas Air Bersih (Studi Kasus PDAM Tirta Kencana Kabupaten Jombang)","Data Mining","","",""
"118","KOMPARASI METODE DATA MINING UNTUK PENENTUAN PROSES PERSALINAN IBU MELAHIRKAN","Data Mining","","",""
"119","MERANCANG STRATEGI PENJUALAN PRODUK JASA PELATIHAN DENGAN MENGGUNAKAN METODE DATA MINING","Data Mining","","",""
"120","Metode Data Mining Terhadap Data Penjualan Sparepart Mesin Fotocopy Menggunakan Algoritma Apriori","Data Mining","","",""
"121","METODE DATA MINING UNTUK SELEKSI CALON MAHASISWA PADA PENERIMAAN MAHASISWA BARU DI UNIVERSITAS PAMULANG","Data Mining","","",""
"122","PEMANFAATAN DATA MINING DENGAN METODE CLUSTERING UNTUK EVALUASI BIAYA DOKUMEN EKSPOR DI PT WINSTAR BATAM","Data Mining","","",""
"123","Pemanfaatan Data Mining Untuk Penempatan Buku Di Perpustakaan Menggunakan Metode Association Rule","Data Mining","","",""
"124","Penerapan Algoritma Apriori dalam Data Mining untuk Memprediksi Pola Pengunjung pada Objek Wisata Kabupaten Karo","Data Mining","","",""
"125","PENERAPAN DATA MINING DALAM MENENTUKAN PILIHAN JURUSAN BIDANG STUDI SMA MENGGUNAKAN METODE CLUSTERING DENGAN TEKNIK SINGLE LINKAGE","Data Mining","","",""
"126","PENERAPAN DATA MINING DALAM PENGELOMPOKAN PENDERITA THALASSAEMIA","Data Mining","","",""
"127","PENERAPAN DATA MINING MENGGUNAKAN ALGORITMA K-MEANS UNTUK MENGETAHUI MINAT CUSTOMER DI TOKO HIJAB","Data Mining","","",""
"128","PENERAPAN DATA MINING REKOMENDASI BUKU MENGGUNAKAN ALGORITMA APRIORI","Data Mining","","",""
"129","PENERAPAN DATA MINING UNTUK ANALISIS POLA PEMBELIAN KONSUMEN DENGAN ALGORITMA FP-GROWTH PADA DATA TRANSAKSI PENJUALAN SPARE PART MOTOR","Data Mining","","",""
"130","Penerapan Data Mining Untuk Clustering Data Penduduk Miskin Menggunakan Algoritma Hard C-Means","Data Mining","","",""
"131","Penerapan Data Mining Untuk Memprediksi Pemesanan Bibit Pohon Dengan Regresi Linear Berganda","Data Mining","","",""
"132","PENERAPAN DATAMINING DALAM MENGELOMPOKKAN KUNJUNGAN WISATAWAN KE OBJEK WISATA UNGGULAN DI PROV. DKI JAKARTA DENGAN K-MEANS","Data Mining","","",""
"133","PENERAPAN DATAMINING PADA EKSPOR BUAH-BUAHAN MENURUT NEGARA TUJUAN MENGGUNAKAN K-MEANS CLUSTERING METHOD","Data Mining","","",""
"134","PENERAPAN DATAMINING PADA POPULASI DAGING AYAM RAS PEDAGING DI INDONESIA BERDASARKAN PROVINSI MENGGUNAKAN K-MEANS CLUSTERING","Data Mining","","",""
"135","PENERAPAN METODE DATA MINING MARKET BASKET ANALYSIS TERHADAP DATA PENJUALAN PRODUK BUKU DENGAN MENGGUNAKAN ALGORITMA APRIORI DAN FREQUENT PATTERN GROWTH (FP-GROWTH)  STUDI KASUS PERCETAKAN PT. GRAMEDIA","Data Mining","","",""
"136","PENERAPAN TEKNIK DATA MINING UNTUK CLUSTERING ARMADA PADA PT. SIAGA TRANSPORT INDONESIA MENGGUNAKAN METODE K-MEANS","Data Mining","","",""
"137","PERBANDINGAN METODE DATA MINING SVM DAN NN UNTUK KLASIFIKASI PENYAKIT GINJAL KRONIS","Data Mining","","",""
"138","Prediksi Kelulusan Mahasiswa Berdasarkan Kinerja Akademik Menggunakan Pendekatan Data Mining Pada Program Studi Sistem Informasi Fakultas Ilmu Komputer Universitas Brawijaya","Data Mining","","",""
"139","Prototype Data Mining Pola Jabatan Fungsional Dosen Menggunakan Teknik Emerging Pattern Studi Kasus Universitas Mercu Buana","Data Mining","","",""
"140","TEKNIK DATA MINING UNTUK PENENTUAN PAKET HEMAT SEMBAKO DAN KEBUTUHAN HARIAN DENGAN MENGGUNAKAN ALGORITMA FP-GROWTH (STUDI KASUS DI ULFAMART LUBUK ALUNG)","Data Mining","","",""
"141","ANALISA DAN PERANCANGAN JARINGAN KOMPUTER MENGGUNAKAN METODE VIRTUAL LOCAL AREA NETWORK (VLAN) (Studi Kasus DISKOMINFO Provinsi Jambi)","Jaringan Komputer","","",""
"142","ANALISA KINERJA KONEKSI JARINGAN KOMPUTER PADA SMK TEKNOLOGI BISTEK PALEMBANG","Jaringan Komputer","","",""
"143","ANALISIS KOMPARASI PERFORMA JARINGAN KOMPUTER PADA IMPLEMENTASI IPv4 dan IPv6","Jaringan Komputer","","",""
"144","ANALISIS PENGGUNAAN ACCESS CONTROL LIST (ACL) DALAM JARINGAN KOMPUTER DI KAWASAN BATAMINDO INDUSTRIAL PARK BATAM","Jaringan Komputer","","",""
"145","Analisis Perbandingan Sistem Manajemen Bandwidth Berbasis Class-Based Queue Dan Hierarchical Token Bucket Untuk Jaringan Komputer","Jaringan Komputer","","",""
"146","ANALISIS PERFORMA DAN DESAIN JARINGAN KOMPUTER MENGGUNAKAN TOP-DOWN NETWORK DESAIN STUDI KASUS PADA CV. MERAH PUTIH","Jaringan Komputer","","",""
"147","Arsitektur Jaringan Komputer Berbasis Framework Togaf-Adm Menggunakan Proses NDLC","Jaringan Komputer","","",""
"148","DISTRIBUSI JARINGAN MENGGUNAKAN ROUTING OSPF DENGAN METODE REDISTRIBUTION","Jaringan Komputer","","",""
"149","EFEKTIFITAS METODE PENGAJARAN JARINGAN KOMPUTER BERBASIS OPEN COURSWARE","Jaringan Komputer","","",""
"150","IMPLEMENTASI DAN ANALISIS JARINGAN MENGGUNAKAN WIRESHARK, CAIN AND ABELS, NETWORK MINNER","Jaringan Komputer","","",""
"151","Implementasi Keamanan Jaringan Komputer Local Area Network Menggunakan Access Control List pada Perusahaan X","Jaringan Komputer","","",""
"152","IMPLEMENTASI SENSOR MONITORING PADA JARINGAN WI-FI (HOTSPOT) BERBASIS SNORT","Jaringan Komputer","","",""
"153","IMPLEMENTASI SNORT INTRUSION DETECTION SYSTEM (IDS) PADA SISTEM JARINGAN KOMPUTER","Jaringan Komputer","","",""
"154","IMPLEMENTASI TEKNIK DEEP PACKET INSPECTION DENGAN MENGGUNAKAN WIRESHARK PADA SISTEM OPERASI UBUNTU","Jaringan Komputer","","",""
"155","MEMBANGUN JARINGAN INTERNET BERBASIS LOCAL AREA NETWORK DAN HOTSPOT WIFI PADA SMA NEGERI 1 LABUAPI","Jaringan Komputer","","",""
"156","Metode Point to Point Tunneling Protocol Untuk Keamanan Jaringan Studi Kasus Kantor Walikota Administrasi Jakarta Barat","Jaringan Komputer","","",""
"157","PEMERINGKATAN RISIKO KEAMANAN SISTEM JARINGAN KOMPUTER POLITEKNIK KOTA MALANG MENGGUNAKAN CVSS DAN FMEA","Jaringan Komputer","","",""
"158","Pendeteksi Gangguan Jaringan Lokal Menggunakan Metode Certainty Factor","Jaringan Komputer","","",""
